GBLRw0508233_S710	0	0
GBlb0508232_S717	243	19
AB151tb052323_S674	293	133
HEXB1062823_S750	830	4
AB221tb052323_S678	891	38
HEW2tb050423_S730	976	4
HEKKtb050423_S726	1400	13
ABlb0523232_S688	1636	43
HEABtb050423_S734	1857	3
GBlb0508231_S716	2180	369
ABlb0523231_S687	2311	111
ABGBHENTC030524_S722	2514	11
GBXB1061223_S719	2615	3
ABsbMay2023_S690	2726	76
GBGBtb050823_S702	2923	1761
HEsbMay2023_S748	3366	122
HEH2O062823_S749	3450	34
HEPHw0504233_S737	3547	3368
HElb0504232_S744	3783	41
GBH2O0612232_S718	4434	27
GBH2O0612231_S706	4550	47
ABH2O061423_S691	5454	41
HElb0504233_S745	6099	73
HElb0505231_S747	6330	192
HEPHtb050423_S738	6729	99
ABlb0523233_S689	6832	2091
HElb0504234_S746	8334	98
AB161tb052323_S686	8507	4225
ABXB1061423_S692	9942	52
GBSQtb050823_S707	10581	8421
HElb0504231_S743	11115	192
AB181tb052323_S670	12492	3003
HER9tb050523_S742	13495	556
AB141tb052323_S682	16066	13314
GBLRw0508232_S709	19179	18827
GBORtb050823_S715	19785	16670
HEPHw0504231_S735	29302	23922
HEABw0504233_S733	30066	26506
GBLRtb050823_S711	32992	26606
HEPHw0504232_S736	42824	37692
HEABw0504232_S732	44086	40443
GBGBw0508233_S701	50530	49576
GBORw0508231_S712	52271	51656
GBLRw0508231_S708	81679	78122
HEW2w0504233_S729	94285	83172
HEW2w0504231_S727	94580	82461
ABGBHEOst030524_S698	98077	91829
HEKKw0504232_S724	107583	104384
AB221w0523233_S677	116601	114595
AB181w0523231_S667	117209	115751
GBORw0508233_S714	127762	126889
AB161w0523233_S685	131157	129046
HEKKw0504233_S725	136627	133716
AB161w0523231_S683	138598	136764
AB151w0523231_S671	138739	137128
HER9w0505233_S741	141080	138880
HEABw0504231_S731	142832	129717
AB151w0523233_S673	144263	142263
GBSQw0508231_S703	149322	147832
AB141w0523232_S680	153088	151029
AB151w0523232_S672	160708	157813
HEW2w0504232_S728	164241	135911
HER9w0505232_S740	164541	160268
GBORw0508232_S713	165549	164236
HEKKw0504231_S723	168276	162655
GBGBw0508232_S700	169568	168217
AB221w0523231_S675	176475	172349
AB181w0523233_S669	176714	170569
GBGBw0508231_S699	178746	176291
GBSQw0508233_S705	185964	182977
AB181w0523232_S668	186816	184590
AB221w0523232_S676	220092	215109
GBSQw0508232_S704	232043	228473
HER9w0505231_S739	242413	231346
AB161w0523232_S684	293669	288455
AB141w0523231_S679	373667	365026
AB141w0523233_S681	455305	447970
